"oldname","fullpath","newname","parentdir","old"
"CLEANUP_AUDIT_SUMMARY.md","F:\Git\basecoat\docs\archive\CLEANUP_AUDIT_SUMMARY.md","cleanup-audit-summary.md","F:\Git\basecoat\docs\archive","archive\CLEANUP_AUDIT_SUMMARY.md"
"CLEANUP_REPORT.md","F:\Git\basecoat\docs\archive\CLEANUP_REPORT.md","cleanup-report.md","F:\Git\basecoat\docs\archive","archive\CLEANUP_REPORT.md"
"DELIVERABLES_MANIFEST.md","F:\Git\basecoat\docs\archive\DELIVERABLES_MANIFEST.md","deliverables-manifest.md","F:\Git\basecoat\docs\archive","archive\DELIVERABLES_MANIFEST.md"
"DEPLOYMENT_READINESS_REPORT.md","F:\Git\basecoat\docs\archive\DEPLOYMENT_READINESS_REPORT.md","deployment-readiness-report.md","F:\Git\basecoat\docs\archive","archive\DEPLOYMENT_READINESS_REPORT.md"
"FRONTEND_DESIGN_PACKAGE_SUMMARY.md","F:\Git\basecoat\docs\archive\FRONTEND_DESIGN_PACKAGE_SUMMARY.md","frontend-design-package-summary.md","F:\Git\basecoat\docs\archive","archive\FRONTEND_DESIGN_PACKAGE_SUMMARY.md"
"IMPLEMENTATION_NOTES.md","F:\Git\basecoat\docs\archive\IMPLEMENTATION_NOTES.md","implementation-notes.md","F:\Git\basecoat\docs\archive","archive\IMPLEMENTATION_NOTES.md"
"INFRASTRUCTURE_DELIVERY_SUMMARY.md","F:\Git\basecoat\docs\archive\INFRASTRUCTURE_DELIVERY_SUMMARY.md","infrastructure-delivery-summary.md","F:\Git\basecoat\docs\archive","archive\INFRASTRUCTURE_DELIVERY_SUMMARY.md"
"PORTAL_INDEX.md","F:\Git\basecoat\docs\archive\PORTAL_INDEX.md","portal-index.md","F:\Git\basecoat\docs\archive","archive\PORTAL_INDEX.md"
"README_FRONTEND_DESIGN.md","F:\Git\basecoat\docs\archive\README_FRONTEND_DESIGN.md","readme-frontend-design.md","F:\Git\basecoat\docs\archive","archive\README_FRONTEND_DESIGN.md"
"RESPONSIVE_DESIGN_GUIDE_v1.md","F:\Git\basecoat\docs\archive\RESPONSIVE_DESIGN_GUIDE_v1.md","responsive-design-guide-v1.md","F:\Git\basecoat\docs\archive","archive\RESPONSIVE_DESIGN_GUIDE_v1.md"
"WAVE3_ARCHITECTURE_REVIEW_FINDINGS.md","F:\Git\basecoat\docs\archive\WAVE3_ARCHITECTURE_REVIEW_FINDINGS.md","wave3-architecture-review-findings.md","F:\Git\basecoat\docs\archive","archive\WAVE3_ARCHITECTURE_REVIEW_FINDINGS.md"
"WAVE3_DAY1_SUMMARY.md","F:\Git\basecoat\docs\archive\WAVE3_DAY1_SUMMARY.md","wave3-day1-summary.md","F:\Git\basecoat\docs\archive","archive\WAVE3_DAY1_SUMMARY.md"
"WAVE3_DAY3_STAGING_DEPLOYMENT_GUIDE.md","F:\Git\basecoat\docs\archive\WAVE3_DAY3_STAGING_DEPLOYMENT_GUIDE.md","wave3-day3-staging-deployment-guide.md","F:\Git\basecoat\docs\archive","archive\WAVE3_DAY3_STAGING_DEPLOYMENT_GUIDE.md"
"WAVE3_DAY3_STAGING_SUMMARY.md","F:\Git\basecoat\docs\archive\WAVE3_DAY3_STAGING_SUMMARY.md","wave3-day3-staging-summary.md","F:\Git\basecoat\docs\archive","archive\WAVE3_DAY3_STAGING_SUMMARY.md"
"WAVE3_STAGING_CONNECTION_STRINGS.md","F:\Git\basecoat\docs\archive\WAVE3_STAGING_CONNECTION_STRINGS.md","wave3-staging-connection-strings.md","F:\Git\basecoat\docs\archive","archive\WAVE3_STAGING_CONNECTION_STRINGS.md"
"WAVE3_STAGING_DEPLOYMENT_CHECKLIST.md","F:\Git\basecoat\docs\archive\WAVE3_STAGING_DEPLOYMENT_CHECKLIST.md","wave3-staging-deployment-checklist.md","F:\Git\basecoat\docs\archive","archive\WAVE3_STAGING_DEPLOYMENT_CHECKLIST.md"
"WAVE3_STAGING_NETWORK_ARCHITECTURE.md","F:\Git\basecoat\docs\archive\WAVE3_STAGING_NETWORK_ARCHITECTURE.md","wave3-staging-network-architecture.md","F:\Git\basecoat\docs\archive","archive\WAVE3_STAGING_NETWORK_ARCHITECTURE.md"
"WAVE3_STAGING_SECURITY_VALIDATION_REPORT.md","F:\Git\basecoat\docs\archive\WAVE3_STAGING_SECURITY_VALIDATION_REPORT.md","wave3-staging-security-validation-report.md","F:\Git\basecoat\docs\archive","archive\WAVE3_STAGING_SECURITY_VALIDATION_REPORT.md"
"AUDIT_REPORT_v2.3.0.md","F:\Git\basecoat\docs\archive\archived\AUDIT_REPORT_v2.3.0.md","audit-report-v2.3.0.md","F:\Git\basecoat\docs\archive\archived","archive\archived\AUDIT_REPORT_v2.3.0.md"
"COMPREHENSIVE_RELEASE_REPORT_v3.0.0.md","F:\Git\basecoat\docs\archive\archived\COMPREHENSIVE_RELEASE_REPORT_v3.0.0.md","comprehensive-release-report-v3.0.0.md","F:\Git\basecoat\docs\archive\archived","archive\archived\COMPREHENSIVE_RELEASE_REPORT_v3.0.0.md"
"FINAL_RELEASE_NOTES.md","F:\Git\basecoat\docs\archive\archived\FINAL_RELEASE_NOTES.md","final-release-notes.md","F:\Git\basecoat\docs\archive\archived","archive\archived\FINAL_RELEASE_NOTES.md"
"RELEASE_NOTES_v3.0.0.md","F:\Git\basecoat\docs\archive\archived\RELEASE_NOTES_v3.0.0.md","release-notes-v3.0.0.md","F:\Git\basecoat\docs\archive\archived","archive\archived\RELEASE_NOTES_v3.0.0.md"
"PLUGIN_DESIGN_BRIEF.md","F:\Git\basecoat\docs\archive\design-briefs\PLUGIN_DESIGN_BRIEF.md","plugin-design-brief.md","F:\Git\basecoat\docs\archive\design-briefs","archive\design-briefs\PLUGIN_DESIGN_BRIEF.md"
"PORTAL_DESIGN_BRIEF.md","F:\Git\basecoat\docs\archive\design-briefs\PORTAL_DESIGN_BRIEF.md","portal-design-brief.md","F:\Git\basecoat\docs\archive\design-briefs","archive\design-briefs\PORTAL_DESIGN_BRIEF.md"
"ACCESSIBILITY_TESTING_GUIDE_v1.md","F:\Git\basecoat\docs\archive\portal\ACCESSIBILITY_TESTING_GUIDE_v1.md","accessibility-testing-guide-v1.md","F:\Git\basecoat\docs\archive\portal","archive\portal\ACCESSIBILITY_TESTING_GUIDE_v1.md"
"API_DOCUMENTATION.md","F:\Git\basecoat\docs\archive\portal\API_DOCUMENTATION.md","api-documentation.md","F:\Git\basecoat\docs\archive\portal","archive\portal\API_DOCUMENTATION.md"
"DARK_MODE_ACCESSIBILITY_GUIDE_v1.md","F:\Git\basecoat\docs\archive\portal\DARK_MODE_ACCESSIBILITY_GUIDE_v1.md","dark-mode-accessibility-guide-v1.md","F:\Git\basecoat\docs\archive\portal","archive\portal\DARK_MODE_ACCESSIBILITY_GUIDE_v1.md"
"FRONTEND_IMPLEMENTATION_GUIDE.md","F:\Git\basecoat\docs\archive\portal\FRONTEND_IMPLEMENTATION_GUIDE.md","frontend-implementation-guide.md","F:\Git\basecoat\docs\archive\portal","archive\portal\FRONTEND_IMPLEMENTATION_GUIDE.md"
"IAM_DESIGN_INDEX.md","F:\Git\basecoat\docs\archive\portal\IAM_DESIGN_INDEX.md","iam-design-index.md","F:\Git\basecoat\docs\archive\portal","archive\portal\IAM_DESIGN_INDEX.md"
"OAUTH_INTEGRATION_GUIDE.md","F:\Git\basecoat\docs\archive\portal\OAUTH_INTEGRATION_GUIDE.md","oauth-integration-guide.md","F:\Git\basecoat\docs\archive\portal","archive\portal\OAUTH_INTEGRATION_GUIDE.md"
"PORTAL_ACCESSIBILITY_WCAG_2_1_AA_v1.md","F:\Git\basecoat\docs\archive\portal\PORTAL_ACCESSIBILITY_WCAG_2_1_AA_v1.md","portal-accessibility-wcag-2-1-aa-v1.md","F:\Git\basecoat\docs\archive\portal","archive\portal\PORTAL_ACCESSIBILITY_WCAG_2_1_AA_v1.md"
"PORTAL_API_CONTRACT_SIGNOFF_v1.0.md","F:\Git\basecoat\docs\archive\portal\PORTAL_API_CONTRACT_SIGNOFF_v1.0.md","portal-api-contract-signoff-v1.0.md","F:\Git\basecoat\docs\archive\portal","archive\portal\PORTAL_API_CONTRACT_SIGNOFF_v1.0.md"
"PORTAL_ARCHITECTURE_v1.md","F:\Git\basecoat\docs\archive\portal\PORTAL_ARCHITECTURE_v1.md","portal-architecture-v1.md","F:\Git\basecoat\docs\archive\portal","archive\portal\PORTAL_ARCHITECTURE_v1.md"
"PORTAL_DATABASE_SCHEMA_v1.md","F:\Git\basecoat\docs\archive\portal\PORTAL_DATABASE_SCHEMA_v1.md","portal-database-schema-v1.md","F:\Git\basecoat\docs\archive\portal","archive\portal\PORTAL_DATABASE_SCHEMA_v1.md"
"PORTAL_IDENTITY_DESIGN_v1.md","F:\Git\basecoat\docs\archive\portal\PORTAL_IDENTITY_DESIGN_v1.md","portal-identity-design-v1.md","F:\Git\basecoat\docs\archive\portal","archive\portal\PORTAL_IDENTITY_DESIGN_v1.md"
"PORTAL_IMPLEMENTATION_GUIDE_v1.md","F:\Git\basecoat\docs\archive\portal\PORTAL_IMPLEMENTATION_GUIDE_v1.md","portal-implementation-guide-v1.md","F:\Git\basecoat\docs\archive\portal","archive\portal\PORTAL_IMPLEMENTATION_GUIDE_v1.md"
"PORTAL_INCIDENT_RESPONSE_PLAYBOOK.md","F:\Git\basecoat\docs\archive\portal\PORTAL_INCIDENT_RESPONSE_PLAYBOOK.md","portal-incident-response-playbook.md","F:\Git\basecoat\docs\archive\portal","archive\portal\PORTAL_INCIDENT_RESPONSE_PLAYBOOK.md"
"PORTAL_INFRASTRUCTURE_as_CODE_v1.md","F:\Git\basecoat\docs\archive\portal\PORTAL_INFRASTRUCTURE_as_CODE_v1.md","portal-infrastructure-as-code-v1.md","F:\Git\basecoat\docs\archive\portal","archive\portal\PORTAL_INFRASTRUCTURE_as_CODE_v1.md"
"PORTAL_LLM_INTEGRATION_GUIDE.md","F:\Git\basecoat\docs\archive\portal\PORTAL_LLM_INTEGRATION_GUIDE.md","portal-llm-integration-guide.md","F:\Git\basecoat\docs\archive\portal","archive\portal\PORTAL_LLM_INTEGRATION_GUIDE.md"
"PORTAL_PERFORMANCE_REQUIREMENTS_v1.md","F:\Git\basecoat\docs\archive\portal\PORTAL_PERFORMANCE_REQUIREMENTS_v1.md","portal-performance-requirements-v1.md","F:\Git\basecoat\docs\archive\portal","archive\portal\PORTAL_PERFORMANCE_REQUIREMENTS_v1.md"
"PORTAL_PRODUCT_REQUIREMENTS_v1.md","F:\Git\basecoat\docs\archive\portal\PORTAL_PRODUCT_REQUIREMENTS_v1.md","portal-product-requirements-v1.md","F:\Git\basecoat\docs\archive\portal","archive\portal\PORTAL_PRODUCT_REQUIREMENTS_v1.md"
"PORTAL_PROMPT_ENGINEERING_README.md","F:\Git\basecoat\docs\archive\portal\PORTAL_PROMPT_ENGINEERING_README.md","portal-prompt-engineering-readme.md","F:\Git\basecoat\docs\archive\portal","archive\portal\PORTAL_PROMPT_ENGINEERING_README.md"
"PORTAL_PROMPT_ENGINEERING_v1.md","F:\Git\basecoat\docs\archive\portal\PORTAL_PROMPT_ENGINEERING_v1.md","portal-prompt-engineering-v1.md","F:\Git\basecoat\docs\archive\portal","archive\portal\PORTAL_PROMPT_ENGINEERING_v1.md"
"PORTAL_SECURITY_COMPLIANCE_CHECKLIST.md","F:\Git\basecoat\docs\archive\portal\PORTAL_SECURITY_COMPLIANCE_CHECKLIST.md","portal-security-compliance-checklist.md","F:\Git\basecoat\docs\archive\portal","archive\portal\PORTAL_SECURITY_COMPLIANCE_CHECKLIST.md"
"PORTAL_SECURITY_REVIEW_v1.md","F:\Git\basecoat\docs\archive\portal\PORTAL_SECURITY_REVIEW_v1.md","portal-security-review-v1.md","F:\Git\basecoat\docs\archive\portal","archive\portal\PORTAL_SECURITY_REVIEW_v1.md"
"PORTAL_SECURITY_RISK_MITIGATION_ROADMAP.md","F:\Git\basecoat\docs\archive\portal\PORTAL_SECURITY_RISK_MITIGATION_ROADMAP.md","portal-security-risk-mitigation-roadmap.md","F:\Git\basecoat\docs\archive\portal","archive\portal\PORTAL_SECURITY_RISK_MITIGATION_ROADMAP.md"
"PORTAL_TECHNICAL_DOCUMENTATION_INDEX_v1.md","F:\Git\basecoat\docs\archive\portal\PORTAL_TECHNICAL_DOCUMENTATION_INDEX_v1.md","portal-technical-documentation-index-v1.md","F:\Git\basecoat\docs\archive\portal","archive\portal\PORTAL_TECHNICAL_DOCUMENTATION_INDEX_v1.md"
"PORTAL_UI_DESIGN_v1.md","F:\Git\basecoat\docs\archive\portal\PORTAL_UI_DESIGN_v1.md","portal-ui-design-v1.md","F:\Git\basecoat\docs\archive\portal","archive\portal\PORTAL_UI_DESIGN_v1.md"
"RBAC_MATRIX.md","F:\Git\basecoat\docs\archive\portal\RBAC_MATRIX.md","rbac-matrix.md","F:\Git\basecoat\docs\archive\portal","archive\portal\RBAC_MATRIX.md"
"README_IAM_DESIGN.md","F:\Git\basecoat\docs\archive\portal\README_IAM_DESIGN.md","readme-iam-design.md","F:\Git\basecoat\docs\archive\portal","archive\portal\README_IAM_DESIGN.md"
"WAVE3_ACCESSIBILITY_DELIVERY_SUMMARY.md","F:\Git\basecoat\docs\archive\portal\WAVE3_ACCESSIBILITY_DELIVERY_SUMMARY.md","wave3-accessibility-delivery-summary.md","F:\Git\basecoat\docs\archive\portal","archive\portal\WAVE3_ACCESSIBILITY_DELIVERY_SUMMARY.md"
"WCAG_2_1_AA_VALIDATION_CHECKLIST.md","F:\Git\basecoat\docs\archive\portal\WCAG_2_1_AA_VALIDATION_CHECKLIST.md","wcag-2-1-aa-validation-checklist.md","F:\Git\basecoat\docs\archive\portal","archive\portal\WCAG_2_1_AA_VALIDATION_CHECKLIST.md"
"BACKUP_RECOVERY_PROCEDURES.md","F:\Git\basecoat\docs\archive\wave3\BACKUP_RECOVERY_PROCEDURES.md","backup-recovery-procedures.md","F:\Git\basecoat\docs\archive\wave3","archive\wave3\BACKUP_RECOVERY_PROCEDURES.md"
"CONNECTION_POOL_CONFIGURATION.md","F:\Git\basecoat\docs\archive\wave3\CONNECTION_POOL_CONFIGURATION.md","connection-pool-configuration.md","F:\Git\basecoat\docs\archive\wave3","archive\wave3\CONNECTION_POOL_CONFIGURATION.md"
"DATABASE_VALIDATION_CERTIFICATION_v1.md","F:\Git\basecoat\docs\archive\wave3\DATABASE_VALIDATION_CERTIFICATION_v1.md","database-validation-certification-v1.md","F:\Git\basecoat\docs\archive\wave3","archive\wave3\DATABASE_VALIDATION_CERTIFICATION_v1.md"
"DEPLOYMENT_PROCEDURES.md","F:\Git\basecoat\docs\archive\wave3\DEPLOYMENT_PROCEDURES.md","deployment-procedures.md","F:\Git\basecoat\docs\archive\wave3","archive\wave3\DEPLOYMENT_PROCEDURES.md"
"WAVE3_EXECUTIVE_SUMMARY.md","F:\Git\basecoat\docs\archive\wave3\WAVE3_EXECUTIVE_SUMMARY.md","wave3-executive-summary.md","F:\Git\basecoat\docs\archive\wave3","archive\wave3\WAVE3_EXECUTIVE_SUMMARY.md"
"CODE_EXAMPLES.md","F:\Git\basecoat\docs\guides\CODE_EXAMPLES.md","code-examples.md","F:\Git\basecoat\docs\guides","guides\CODE_EXAMPLES.md"
"CONFIG_PATTERN.md","F:\Git\basecoat\docs\guides\CONFIG_PATTERN.md","config-pattern.md","F:\Git\basecoat\docs\guides","guides\CONFIG_PATTERN.md"
"DEPLOYMENT_CHECKLIST.md","F:\Git\basecoat\docs\guides\DEPLOYMENT_CHECKLIST.md","deployment-checklist.md","F:\Git\basecoat\docs\guides","guides\DEPLOYMENT_CHECKLIST.md"
"DOTNET_DECISION_TREE.md","F:\Git\basecoat\docs\guides\DOTNET_DECISION_TREE.md","dotnet-decision-tree.md","F:\Git\basecoat\docs\guides","guides\DOTNET_DECISION_TREE.md"
"DOTNET_MODERNIZATION.md","F:\Git\basecoat\docs\guides\DOTNET_MODERNIZATION.md","dotnet-modernization.md","F:\Git\basecoat\docs\guides","guides\DOTNET_MODERNIZATION.md"
"ENTERPRISE_DOTNET_GUIDANCE.md","F:\Git\basecoat\docs\guides\ENTERPRISE_DOTNET_GUIDANCE.md","enterprise-dotnet-guidance.md","F:\Git\basecoat\docs\guides","guides\ENTERPRISE_DOTNET_GUIDANCE.md"
"MODEL_OPTIMIZATION.md","F:\Git\basecoat\docs\guides\MODEL_OPTIMIZATION.md","model-optimization.md","F:\Git\basecoat\docs\guides","guides\MODEL_OPTIMIZATION.md"
"WINDOWS_SERVER_AZURE_GUIDANCE.md","F:\Git\basecoat\docs\guides\WINDOWS_SERVER_AZURE_GUIDANCE.md","windows-server-azure-guidance.md","F:\Git\basecoat\docs\guides","guides\WINDOWS_SERVER_AZURE_GUIDANCE.md"
"APPLICATION_GATEWAY_ROUTING_GUIDANCE.md","F:\Git\basecoat\docs\integrations\APPLICATION_GATEWAY_ROUTING_GUIDANCE.md","application-gateway-routing-guidance.md","F:\Git\basecoat\docs\integrations","integrations\APPLICATION_GATEWAY_ROUTING_GUIDANCE.md"
"AZURE_AD_INTEGRATION_GUIDE.md","F:\Git\basecoat\docs\integrations\AZURE_AD_INTEGRATION_GUIDE.md","azure-ad-integration-guide.md","F:\Git\basecoat\docs\integrations","integrations\AZURE_AD_INTEGRATION_GUIDE.md"
"AZURE_SQL_MIGRATION_GUIDANCE.md","F:\Git\basecoat\docs\integrations\AZURE_SQL_MIGRATION_GUIDANCE.md","azure-sql-migration-guidance.md","F:\Git\basecoat\docs\integrations","integrations\AZURE_SQL_MIGRATION_GUIDANCE.md"
"ENTERPRISE_IDENTITY_ACCESS.md","F:\Git\basecoat\docs\integrations\ENTERPRISE_IDENTITY_ACCESS.md","enterprise-identity-access.md","F:\Git\basecoat\docs\integrations","integrations\ENTERPRISE_IDENTITY_ACCESS.md"
"ENTERPRISE_KUBERNETES_PATTERNS.md","F:\Git\basecoat\docs\integrations\ENTERPRISE_KUBERNETES_PATTERNS.md","enterprise-kubernetes-patterns.md","F:\Git\basecoat\docs\integrations","integrations\ENTERPRISE_KUBERNETES_PATTERNS.md"
"LEGACY_MODERNIZATION_GUIDANCE.md","F:\Git\basecoat\docs\integrations\LEGACY_MODERNIZATION_GUIDANCE.md","legacy-modernization-guidance.md","F:\Git\basecoat\docs\integrations","integrations\LEGACY_MODERNIZATION_GUIDANCE.md"
"RBAC_ONLY_AUTHENTICATION_PATTERNS.md","F:\Git\basecoat\docs\integrations\RBAC_ONLY_AUTHENTICATION_PATTERNS.md","rbac-only-authentication-patterns.md","F:\Git\basecoat\docs\integrations","integrations\RBAC_ONLY_AUTHENTICATION_PATTERNS.md"
"LEARNING_MODEL.md","F:\Git\basecoat\docs\memory\LEARNING_MODEL.md","learning-model.md","F:\Git\basecoat\docs\memory","memory\LEARNING_MODEL.md"
"MEMORY_DESIGN.md","F:\Git\basecoat\docs\memory\MEMORY_DESIGN.md","memory-design.md","F:\Git\basecoat\docs\memory","memory\MEMORY_DESIGN.md"
"SHARED_MEMORY_GUIDE.md","F:\Git\basecoat\docs\memory\SHARED_MEMORY_GUIDE.md","shared-memory-guide.md","F:\Git\basecoat\docs\memory","memory\SHARED_MEMORY_GUIDE.md"
"SQLITE_MEMORY.md","F:\Git\basecoat\docs\memory\SQLITE_MEMORY.md","sqlite-memory.md","F:\Git\basecoat\docs\memory","memory\SQLITE_MEMORY.md"
"ARTIFACT_HYGIENE.md","F:\Git\basecoat\docs\operations\ARTIFACT_HYGIENE.md","artifact-hygiene.md","F:\Git\basecoat\docs\operations","operations\ARTIFACT_HYGIENE.md"
"BLOCKED_ISSUES.md","F:\Git\basecoat\docs\operations\BLOCKED_ISSUES.md","blocked-issues.md","F:\Git\basecoat\docs\operations","operations\BLOCKED_ISSUES.md"
"COMPANION_APP_WORKFLOW_PLAN.md","F:\Git\basecoat\docs\operations\COMPANION_APP_WORKFLOW_PLAN.md","companion-app-workflow-plan.md","F:\Git\basecoat\docs\operations","operations\COMPANION_APP_WORKFLOW_PLAN.md"
"COPILOT_EXTENSION_ACA_DEPLOYMENT.md","F:\Git\basecoat\docs\operations\COPILOT_EXTENSION_ACA_DEPLOYMENT.md","copilot-extension-aca-deployment.md","F:\Git\basecoat\docs\operations","operations\COPILOT_EXTENSION_ACA_DEPLOYMENT.md"
"COPILOT_EXTENSION_GITHUB_APP_REGISTRATION.md","F:\Git\basecoat\docs\operations\COPILOT_EXTENSION_GITHUB_APP_REGISTRATION.md","copilot-extension-github-app-registration.md","F:\Git\basecoat\docs\operations","operations\COPILOT_EXTENSION_GITHUB_APP_REGISTRATION.md"
"COPILOT_EXTENSION_OAUTH_FLOW.md","F:\Git\basecoat\docs\operations\COPILOT_EXTENSION_OAUTH_FLOW.md","copilot-extension-oauth-flow.md","F:\Git\basecoat\docs\operations","operations\COPILOT_EXTENSION_OAUTH_FLOW.md"
"COPILOT_EXTENSION_OAUTH_TOKEN_EXCHANGE.md","F:\Git\basecoat\docs\operations\COPILOT_EXTENSION_OAUTH_TOKEN_EXCHANGE.md","copilot-extension-oauth-token-exchange.md","F:\Git\basecoat\docs\operations","operations\COPILOT_EXTENSION_OAUTH_TOKEN_EXCHANGE.md"
"COST_OPTIMIZATION.md","F:\Git\basecoat\docs\operations\COST_OPTIMIZATION.md","cost-optimization.md","F:\Git\basecoat\docs\operations","operations\COST_OPTIMIZATION.md"
"DISASTER_RECOVERY.md","F:\Git\basecoat\docs\operations\DISASTER_RECOVERY.md","disaster-recovery.md","F:\Git\basecoat\docs\operations","operations\DISASTER_RECOVERY.md"
"ENTERPRISE_RUNNERS.md","F:\Git\basecoat\docs\operations\ENTERPRISE_RUNNERS.md","enterprise-runners.md","F:\Git\basecoat\docs\operations","operations\ENTERPRISE_RUNNERS.md"
"ENTERPRISE_SECURITY_HARDENING.md","F:\Git\basecoat\docs\operations\ENTERPRISE_SECURITY_HARDENING.md","enterprise-security-hardening.md","F:\Git\basecoat\docs\operations","operations\ENTERPRISE_SECURITY_HARDENING.md"
"FAILURE_PATTERN_CONSUMER_PROCESS.md","F:\Git\basecoat\docs\operations\FAILURE_PATTERN_CONSUMER_PROCESS.md","failure-pattern-consumer-process.md","F:\Git\basecoat\docs\operations","operations\FAILURE_PATTERN_CONSUMER_PROCESS.md"
"FAILURE_PATTERN_RUN_CONTRACT.md","F:\Git\basecoat\docs\operations\FAILURE_PATTERN_RUN_CONTRACT.md","failure-pattern-run-contract.md","F:\Git\basecoat\docs\operations","operations\FAILURE_PATTERN_RUN_CONTRACT.md"
"FLEET_DISPATCH_POLICY.md","F:\Git\basecoat\docs\operations\FLEET_DISPATCH_POLICY.md","fleet-dispatch-policy.md","F:\Git\basecoat\docs\operations","operations\FLEET_DISPATCH_POLICY.md"
"GITHUB_SECRETS.md","F:\Git\basecoat\docs\operations\GITHUB_SECRETS.md","github-secrets.md","F:\Git\basecoat\docs\operations","operations\GITHUB_SECRETS.md"
"INSTALL_PAYLOAD_POLICY.md","F:\Git\basecoat\docs\operations\INSTALL_PAYLOAD_POLICY.md","install-payload-policy.md","F:\Git\basecoat\docs\operations","operations\INSTALL_PAYLOAD_POLICY.md"
"OPERATIONAL_RUNBOOK.md","F:\Git\basecoat\docs\operations\OPERATIONAL_RUNBOOK.md","operational-runbook.md","F:\Git\basecoat\docs\operations","operations\OPERATIONAL_RUNBOOK.md"
"RELEASE_METRICS.md","F:\Git\basecoat\docs\operations\RELEASE_METRICS.md","release-metrics.md","F:\Git\basecoat\docs\operations","operations\RELEASE_METRICS.md"
